Navn;Navn Detaljeret;Adresse;Telefon;Email;Hjemmeside;Kommune;Region;Facilitetstype;Placering;Ejerforhold;Driftsherre;Eksterne bemærkninger;Gis X;Gis Y;UTM;Antal baner
Bellahøj Svømmestadion;Svømmehal og friluftsbad;Bellahøjvej 1-3, 2700 Brønshøj;;bs@teambade.dk;https://svoemkbh.kk.dk/indhold/bellahoej-svoemmestadion, https://svoemkbh.kk.dk/indhold/friluftsbade;København;Hovedstaden;Svømmeanlæg;Kombineret;Kommunal;Kommunal;"50 m. bassin med 8 baner

25 m. udspringsbassin har ingen banemarkering

25 m. udendørs bassin har ingen banemarkering

Andre svømmebassiner: undervisningsbassin, udendørs legebassin

***

Nationalt elitecenter for svømning.

Øvrige oplysninger:

50 m. bassin: dybde 2 m. Bassinet har hæve-/sænkebro

25 m. udspringsbassin: dybde 3,8 m. Bassinet har 1, 3 og 5 m. vippe.

Undervisningsbassin; dybde 0,8 m.

Udendørs: 25 m. bassin med en vanddybe på henholdsvis 0,70-0,90 m. samt et legebassin


";720848;6178965;32N;Svømmebassiner 50 m=1,Svømmebassiner 25 m=2,Andre svømmebassiner=2
Blågård Skole;Gymnastiksal 494 gl. sal;Hans Tavsens Gade 4, 2200 København SV;;mail@blg.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723179;6177022;32N;
Blågård Skole;Gymnastiksal 495 ny sal;Hans Tavsens Gade 4, 2200 København SV;;mail@blg.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;723179;6177022;32N;
Boldfælleder Artillerivej;;Artillerivej 190, 2300 København S;;;https://kk.halbooking.dk;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;;724524;6172309;32N;Naturgræsbaner=4
Bordings Friskole;;Øster Søgade 86, 2100 København Ø;;kontor@bordings.dk;http://bordings.skoleporten.dk/sp;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;724750;6177842;32N;
Butcher's Lab;;Staldgade 22, 1699 København V;;info@butchers.dk;https://www.butcherslab.dk;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;CrossFit;724012;6174924;32N;
Charlottehaven Fitness & Health Club;;Hjørringgade 12C, 2100 København Ø;35 27 15 00;reception@charlottehaven.com;https://www.charlottehaven.com/dk/da/health-club/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;Forskellige fitnesstilbud og helsetilbud. Herunder bl.a. fitnessscenter, indoor cycling, løbetræning, squash og 20 m. pool.;725450;6179135;32N;
Christianshavns Gymnasium;Gymnastiksal;Prinsessegade 35, 1422 København K;;cg@cg-gym.dk;http://cg-gym.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;726074;6175577;32N;
Christianshavns Skole;Gymnastiksal 10 Drenge;Prinssegade 45, 1422 København K;;mail@chr.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726172;6175688;32N;
Christianshavns Skole;Gymnastiksal 9 Piger;Prinssegade 45, 1422 København K;;mail@chr.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726172;6175688;32N;
Arca;Arca, Boxen;Portugalsgade 13, 2300 København S;;kontor@arca.dk;https://arca.dk/, https://arca.dk/boxen/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;"
";726927;6174193;32N;
Arca;Arca, Centralen;Dannebrogsgade 5-9, 1660 København V;;kontor@arca.dk;https://arca.dk/, https://arca.dk/centralen/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;"
";723392;6175290;32N;
Arca;Arca, Kirken;Griffenfeldsgade 7A, 2200 København N;;kontor@arca.dk;https://arca.dk/, https://arca.dk/kirken/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;"
";723457;6177186;32N;
Arca;Arca, Klubben;Jagtvej 217, 2100 København Ø;;kontor@arca.dk;https://arca.dk/, https://arca.dk/klubben/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;"
";724568;6179467;32N;
Arca;Arca, Trykkeriet;Rentemestervej 56, 2400 København NV;;kontor@arca.dk;https://arca.dk/, https://arca.dk/trykkeriet/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;"
";721613;6179108;32N;
Arca;Arca, Værkstedet;Kastanie Alle 20, 2720 Vanløse;;kontor@arca.dk;https://arca.dk/, https://arca.dk/vaerkstedet/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;"
";719428;6176439;32N;
Damhusengen;;Toftøjevej, 2720 Vanløse;;;https://kk.halbooking.dk, https://vanloseidraetspark.kk.dk/;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;;718053;6176718;32N;Naturgræsbaner=4
Den Classenske Legatskole;Multisal;Vester Voldgade 98, 1552 København V;;mail@dcl.kk.dk;http://dcl.skoleporten.dk/sp;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;724834;6175478;32N;
Det Kgl Vaisenhus Skole;;Nørre Farimagsgade 51, 1364 København K;;kontor@vajsenhuset.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Selvejende institution;Selvejende institution;;724215;6176675;32N;
DGI-byen;Vandkulturhuset;Tietgensgade 65, 1704 København V;;vandkulturhuset@dgi-byen.dk;http://www.dgi-byen.dk/vandkulturhuset/;København;Hovedstaden;Svømmeanlæg;Indendørs;Selvejende institution;Selvejende institution;"Varmtvandsbassin: gryden, indsøen

Andre svømmebassiner: ellipsen, idrætsbassinet, fjeldsøen

***

Øvrige oplysninger:




Ellipsen: superellipseformet, omkreds 100 m. 27 grader,  1,8 m dybt. velegnet til svømmetræning.

Idrætsbassinet: 20x10 m., 27 grader. Bassinet har en konstant dybde på 135 cm. Velegnet til vandgymnastik, leg, boldspil, svømning og svømmeindlæring.

Fjeldsøen: Ca. 120 m2. 3,8 m dybt, 27 grader. Trampolin, 1 m. vippe, springbræt, udspringsplateauer på 1,5, 2, 2,5 og 5 m.

Indsøen: Ca. 160 m2. 32 grader varmtvandsbassin. 0,1 til 1,2 m. dybt. Velegnet til leg, vandtilvænning samt begyndersvømning.

Gryden: Ca. 100 m2, 34 grader varmtvandsbassin. 0,9 til 1,3 m. dybt. Velegnet til babysvømning, handicapsvømning samt svømmeindlæring.";724176;6175140;32N;Varmtvandsbassiner=2,Andre svømmebassiner=3
DGI-byen;Træningshuset;Tietgensgade 65, 1704 København V;33 29 80 80;vand-sport@dgi-byen.dk;https://www.dgibyen.dk/da/vand-sport/sport-idraet/fitnesscenter/;København;Hovedstaden;Fitnesscentre;Indendørs;Selvejende institution;Selvejende institution;;724176;6175140;32N;
DGI-byen;Skyttehuset;Tietgensgade 65, 1704 København V;33 29 80 20;info@dgi-byen.dk;https://www.dgibyen.dk/da/kultur-aktiviteter/teambuilding-aktiviteter/skydning/;København;Hovedstaden;Skydeanlæg;Indendørs;Selvejende institution;Selvejende institution;5 baner, 15 m.;724176;6175140;32N;
DGI-byen;Gymnastikhuset (Hal B);Tietgensgade 65, 1704 København V;;info@dgi-byen.dk;http://www.dgi-byen.dk/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Selvejende institution;Selvejende institution;Faciliteter til springgymnastik;724176;6175140;32N;
DGI-byen;Forsamlingshuset (Hal C);Tietgensgade 65, 1704 København V;;info@dgi-byen.dk;http://www.dgi-byen.dk/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Selvejende institution;Selvejende institution;"
";724176;6175140;32N;
DGI-byen;Sportshuset, sal;Tietgensgade 65, 1704 København V;;info@dgi-byen.dk;http://www.dgi-byen.dk/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Selvejende institution;Selvejende institution;;724176;6175140;32N;
DGI-byen;Idrætshuset (Hal A);Tietgensgade 65, 1704 København V;;info@dgi-byen.dk;http://www.dgi-byen.dk/;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Selvejende institution;Selvejende institution;22 x 47 m.;724176;6175140;32N;Håndboldbaner=1
Dyvekeskolen;Gymnastiksal 51 dr. Sal;Remisevej 16, 2300 København S;;mail@dyveke.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726213;6172836;32N;
Dyvekeskolen;Gymnastiksal 52 pi. Sal;Remisevej 16, 2300 København S;;mail@dyveke.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726213;6172836;32N;
Dyvekeskolen;Gymnastiksal 75;Remisevej 16, 2300 København S;;mail@dyveke.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;726213;6172836;32N;
Ellebjerg Skole;Gymnastiksal 51;P. Knudsensgade 37-39, 2450 København SV;;mail@ellebjergskole.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722188;6172902;32N;
Ellebjerg Skole;Gymnastiksal 52;P. Knudsensgade 37-39, 2450 København SV;;mail@ellebjergskole.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722188;6172902;32N;
Ellebjerg Skole;Gymnastiksal 53;P. Knudsensgade 37-39, 2450 København SV;;mail@ellebjergskole.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722188;6172902;32N;
Emdrup Bad;;Bredelandsvej 20, 2100 København Ø;;Emdrup_Bad@kff.kk.dk;https://svoemkbh.kk.dk/emdrup-bad;København;Hovedstaden;Svømmeanlæg;Indendørs;Kommunal;Kommunal;"25 m. bassin med 6 baner

Andre svømmebassiner: undervisnings-/legebassin";722782;6180434;32N;Svømmebassiner 25 m=1,Andre svømmebassiner=1
Emdrupparkens Idrætsanlæg;KFUM Tennisklub;Nøkkerosevej 23, 2400 København NV;;emdrupparken@kff.kk.dk;https://emdrupparken.kk.dk/;København;Hovedstaden;Tennisanlæg;Udendørs;Kommunal;Forening;Anlægget huser KFUMs Tennisklub.;721799;6181128;32N;Grusbaner=8
Energicenter Voldparken;Boldsal;Kobbelvænget 65, 2700 Brønshøj;;mail@energicentervoldparken.dk;http://www.energicentervoldparken.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Forening;10x20 meter;718840;6179741;32N;
Energicenter Voldparken;Bevægelsessal;Kobbelvænget 65, 2700 Brønshøj;;mail@energicentervoldparken.dk;http://www.energicentervoldparken.dk/;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Forening;;718840;6179741;32N;
Energicenter Voldparken;Sal;Kobbelvænget 65, 2700 Brønshøj;;mail@energicentervoldparken.dk;http://www.energicentervoldparken.dk/;København;Hovedstaden;Små idrætshaller (300-799 m2);Indendørs;Kommunal;Forening;15x32 meter;718840;6179741;32N;
Energii ;Energii København S, Strandlodsvej;Strandlodsvej 48, 2300 København S;;info@energii.dk;https://www.energii.dk/københavn-s;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;727829;6174630;32N;
Energii;Energii København K, Ny Kongensgade;Ny Kongensgade 9A, 1472 København K;;info@energii.dk;https://www.energii.dk/københavn-k;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;724887;6175567;32N;
Energii ;Energii København Ø, Bryggervangen;Bryggervangen 37, 2100 København Ø;;info@energii.dk;https://www.energii.dk/københavn-ø;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;723970;6179715;32N;
Engdraget;;Engdraget 2, 2500 Valby;;;https://kk.halbooking.dk;København;Hovedstaden;Fodboldanlæg;Udendørs;Kommunal;Kommunal;;718834;6175049;32N;Naturgræsbaner=3
Engskolen;Gymnastiksal 46;Haderslevgade 6, 1671 V København;;mail@engskolen.kk.dk;https://kk.halbooking.dk;København;Hovedstaden;Idrætslokaler/sale (<300 m2);Indendørs;Kommunal;Kommunal;;722966;6174865;32N;
SATS;SATS KBH - Adelgade;Adelgade 5-7, 1304 København K;+45 33 43 28 00;Adelgade@sats.com;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-adelgade/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;725193;6176581;32N;
SATS;SATS KBH - Amager Strand;Amager Strandvej 108, 2300 København S;+45 41 33 60 70;AmagerStrand@sats.com;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-amager-strand/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;728437;6174352;32N;
SATS;SATS KBH - Field's;Arne Jacobsens Allé 12 - butik 430, 2300 København S;+45 32 62 60 80;;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-fields/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;725194;6170744;32N;
SATS;SATS KBH - Fisketorvet;Kalvebod Brygge 59, 1560 København V;+45 72 22 02 32;;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-fisketorvet/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;723991;6174211;32N;
SATS;SATS KBH - Nygårdsvej;Nygårdsvej 5, 2100 København Ø;+45 39 12 90 00;nygardsvej@sats.com;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-nygardsvej/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;724659;6179861;32N;
SATS;SATS KBH - Nørrebro;Frederikssundsvej 5, 2400 København NV;+45 35 81 22 43;Norrebro@sats.com;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-norrebro/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;722235;6178460;32N;
SATS;SATS KBH - Parken;Øster Alle 42, 2100 København Ø;+45 35 55 00 78;Parken@sats.com;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-parken/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;724465;6178672;32N;
SATS;SATS KBH - Vesterport;Hammerichsgade 5, 1611 København V;+45 82 11 00 00;Royal@sats.com;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-vesterport/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;724044;6175697;32N;
SATS;SATS KBH - Sydhavn;Scandiagade 15, 2450 København SV;+45 82 10 01 30;Sydhavn@sats.com;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-sydhavn/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;722850;6173148;32N;
SATS;SATS KBH - Valby;Torvegade 17, 2500 Valby;+45 82 21 21 00;Valby@sats.com;https://www.sats.com/fitnesscenter/sjaelland/sats-kbh-valby/;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;720847;6174360;32N;
PureGym;PureGym - Husum, Frederikssundsvej;Frederikssundsvej 264, 2700 Brønshøj;;;https://www.puregym.dk/find-center/husum-frederikssundsvej;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;718677;6179240;32N;
PureGym;PureGym - Kbh K., Købmagergade;Købmagergade 48, 1150 København K;;;https://www.puregym.dk/find-center/kbh-k-koebmagergade-koebenhavn;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;724859;6176380;32N;
PureGym;PureGym - Kbh N., Esromgade;Esromgade 15, 2200 København N;;;https://www.puregym.dk/find-center/kbh-n-esromgade;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;722479;6178091;32N;
PureGym;PureGym - Kbh N., Jagtvej;Jagtvej 113-115, 2200 København N;50 60 62 01;;https://www.puregym.dk/find-center/kbh-n-jagtvej-koebenhavn-noerrebro;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;723145;6178017;32N;
PureGym;PureGym - Kbh NV., Emdrup Station;Emdrupvej 115A, 2400 København NV;50 60 61 08;;https://www.puregym.dk/find-center/kbh-nv-emdrup-station;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;722374;6180811;32N;
PureGym;PureGym - Kbh NV., Lygten;Rentemestervej 2, 2400 København NV;50 60 61 24;;https://www.puregym.dk/find-center/kbh-nv-lygten;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;722239;6178842;32N;
PureGym;PureGym - Kbh NV., Tomsgårdsvej;Tomsgårdsvej 15, 2400 København NV;50 60 62 23;;https://www.puregym.dk/find-center/kbh-nv-tomsgaardsvej;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;721288;6179160;32N;
PureGym;PureGym - Kbh S., Bryggen;Kigkurren 1, 2300 København S;50 60 62 07;;https://www.puregym.dk/find-center/kbh-s-bryggen;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;724987;6174340;32N;
PureGym;PureGym - Kbh S., Englandsvej;Englandsvej 28-30, 2300 København S;50 60 61 91;;https://www.puregym.dk/find-center/kbh-s-englandsvej;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;726712;6173775;32N;
PureGym;PureGym - Kbh S., Lyongade;Lyongade 23-25, 2300 København S;50 60 61 03;;https://www.puregym.dk/find-center/kbh-s-lyongade-amager;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;727054;6174306;32N;
PureGym;PureGym - Kbh S., Rued Langgaards Vej;Rued Langgaards Vej 2C, 2300 København S;50 60 87 72;;https://www.puregym.dk/find-center/kbh-s-rued-langgaards-vej;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;725974;6174113;32N;
PureGym;PureGym - Kbh SV., Ellebjergvej;Ellebjergvej 138, 2450 København SV;50 60 61 60;;https://www.puregym.dk/find-center/kbh-sv-ellebjergvej;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;720881;6172799;32N;
PureGym;PureGym - Kbh SV., Sjælør;Ellebjergvej 40, 2450 København SV;50 60 87 90;;https://www.puregym.dk/find-center/kbh-sv-sjaeloer;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;721619;6172772;32N;
PureGym;PureGym - Kbh V., Gasværksvej;Gasværksvej 16, 1656 København V;50 60 61 01;;https://www.puregym.dk/find-center/kbh-v-gasvaerksvej;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;723674;6175179;32N;
PureGym;PureGym - Kbh V., Vesterbrogade;Vesterbrogade 97, 1620 København V;50 60 87 74;;https://www.puregym.dk/find-center/kbh-v-vesterbrogade;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;723021;6175247;32N;
PureGym;PureGym - Kbh Ø., Strandvejen;Strandvejen 32F, 2100 København Ø;50 60 61 72;;https://www.puregym.dk/find-center/kbh-oe-strandvejen;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;724678;6180934;32N;
PureGym;PureGym - Kbh Ø., Æbeløgade;Æbeløgade 4, 2100 København Ø;50 60 87 82;;https://www.puregym.dk/find-center/kbh-oe-aebeloegade;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;723904;6179688;32N;
PureGym;PureGym - Kbh Ø., Århusgade;Århusgade 102, 2100 København Ø;50 60 61 23;;https://www.puregym.dk/find-center/kbh-oe-aarhusgade;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;725333;6179279;32N;
PureGym;PureGym - Valby, Mosedalvej;Mosedalvej 11, 2500 Valby;50 60 61 14;;https://www.puregym.dk/find-center/valby-mosedalvej;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;720968;6174653;32N;
PureGym;PureGym - Vanløse, Skalbakken;Skalbakken 10, 2720 Vanløse;50 60 62 17;;https://www.puregym.dk/find-center/vanloese-skalbakken;København;Hovedstaden;Fitnesscentre;Indendørs;Privat;Privat;;718999;6177456;32N;
Fodboldfabrikken;;Kløvermarksvej 70, 2300 København S;;kbh@fodboldfabrikken.dk;https://fodboldfabrikken.dk/koebenhavn;København;Hovedstaden;Store idrætshaller (>800 m2);Indendørs;Privat;Privat;8 mindre indendørs fodboldbaner.;727428;6175930;32N;
